timestamp,133,130,128,132,131,129,126,134,127,125,145,144,143,142,141,140,139,138,137,136,135
122400,926785.0,,1801090.0,,1292275.0,2105861.0,1984131.0,1681160.0,,1851834.0,5161335.0,2457135.0,1017151.0,880560.0,1281077.0,3036000.0,1331275.0,1269514.0,4042255.0,1691998.0,1860589.0
124200,932014.0,6006690.0,1811578.0,,1307229.0,2107965.0,2006062.0,1697228.0,,1869362.0,5172844.0,2482616.0,1024790.0,888046.0,1299889.0,3052763.0,1343223.0,1277018.0,4054085.0,1714667.0,1885206.0
126000,938701.0,6031584.0,1816230.0,,1315657.0,2111341.0,2025193.0,1713903.0,,1875266.0,5196310.0,2501280.0,1034618.0,893231.0,1304081.0,3069374.0,1353402.0,1288182.0,4097579.0,1718412.0,1894540.0
127800,945541.0,6039088.0,,,1321753.0,2113310.0,2044682.0,1730429.0,,1897278.0,5213430.0,2517476.0,1039860.0,897870.0,1308288.0,3094989.0,1363295.0,1294695.0,4130562.0,1731606.0,1905647.0
129600,950906.0,6048039.0,1823985.0,,1329382.0,2118397.0,,1743663.0,,1908690.0,5252512.0,2529680.0,1047874.0,904598.0,1311670.0,3115309.0,1376713.0,1299115.0,4159204.0,1740660.0,1908793.0
131400,,6073261.0,1828616.0,,,2123670.0,,,,,5271585.0,,,,,3144496.0,,,4197904.0,,
133200,962225.0,6091747.0,1834714.0,,1338750.0,2134039.0,2083950.0,1755236.0,,1929677.0,5316912.0,2565252.0,1062664.0,916620.0,1320377.0,3176819.0,1385855.0,1310722.0,4238957.0,1750656.0,
135000,968086.0,6105695.0,1839557.0,,1341294.0,2147138.0,2088185.0,1765007.0,,1932515.0,5357125.0,2578189.0,1071282.0,923089.0,1326228.0,3193042.0,1390245.0,1314318.0,4265100.0,,1925549.0
136800,971821.0,6151957.0,1844273.0,,1346043.0,2157789.0,2091834.0,1771705.0,,1935008.0,5400962.0,2585885.0,1074912.0,926280.0,1329659.0,3216079.0,1393198.0,1320134.0,4297735.0,1771451.0,1933576.0
138600,977098.0,6173059.0,1852326.0,,1348194.0,2164030.0,2102093.0,1776850.0,2712422.0,1937614.0,5449903.0,2595400.0,1079402.0,927860.0,1331038.0,3242490.0,1397560.0,1325514.0,4345463.0,1779761.0,
140400,984811.0,6190967.0,,,1353055.0,2174836.0,2109663.0,1783033.0,2746781.0,1945215.0,5527334.0,2602655.0,1085305.0,934669.0,1337193.0,3278586.0,1401115.0,1333462.0,4383077.0,1786800.0,1946515.0
142200,993995.0,6242092.0,1863410.0,,1366615.0,2180986.0,2119221.0,1791380.0,2783510.0,1949337.0,5589671.0,2616750.0,1089891.0,944101.0,1345361.0,3325444.0,1403462.0,1338582.0,4435926.0,1791396.0,1959999.0
144000,1005015.0,6311467.0,1885580.0,,1378005.0,2192029.0,2127076.0,1798412.0,2817829.0,1959522.0,5640940.0,2631588.0,1096755.0,953740.0,1355735.0,3371454.0,1409522.0,1350209.0,4486609.0,,1969881.0
145800,1016175.0,6340407.0,1894229.0,,1391008.0,2202579.0,2136722.0,1805860.0,2854677.0,1979537.0,5695090.0,2653449.0,1105990.0,961247.0,1365184.0,3400796.0,1417748.0,1356421.0,4509618.0,1818406.0,1986125.0
147600,1023978.0,6440120.0,1905156.0,,1404595.0,2212448.0,2145680.0,1824533.0,2883190.0,1990305.0,5749165.0,2674715.0,1115686.0,969616.0,1374211.0,3424325.0,1422801.0,1364726.0,4542801.0,1826269.0,1999872.0
149400,1036287.0,6492732.0,,,1419290.0,2227451.0,2151956.0,1841375.0,2919507.0,2003945.0,5806595.0,2695300.0,1125908.0,981126.0,1380688.0,3486450.0,1439725.0,1375829.0,4562926.0,1843268.0,2007574.0
151200,1041357.0,6599649.0,1925568.0,,,2233939.0,2164745.0,1863045.0,2958061.0,2013477.0,5876385.0,2705971.0,1134747.0,990767.0,1385292.0,3523317.0,1452005.0,1384551.0,4613932.0,1848147.0,2024070.0
153000,1050916.0,6636922.0,1931152.0,,,2241210.0,2179556.0,1874220.0,3002296.0,2034463.0,5976826.0,2723518.0,1145847.0,1000347.0,1391515.0,3563263.0,,1394272.0,4644197.0,1861338.0,2034601.0
154800,1060093.0,6705960.0,1936434.0,,,2256736.0,2194019.0,1896675.0,3030819.0,2052747.0,6042290.0,2740045.0,1156939.0,1007673.0,1398879.0,3614505.0,1475815.0,1404832.0,,1879170.0,2044125.0
156600,1067163.0,6782025.0,1946195.0,,1475265.0,2264551.0,2214610.0,1918560.0,3049573.0,2070051.0,6110055.0,2758856.0,1172464.0,1016101.0,1407115.0,3665440.0,1495518.0,1416902.0,4729180.0,1898695.0,2057534.0
158400,1076359.0,6873102.0,1954647.0,,1485465.0,2275376.0,2234980.0,1931040.0,3069088.0,2092135.0,6196182.0,2778340.0,1191154.0,1021417.0,1412046.0,3703740.0,1509940.0,1425058.0,4797713.0,1906793.0,2073341.0
160200,1085525.0,6986164.0,1966500.0,,1496268.0,2288794.0,2248857.0,1951776.0,3083620.0,2111391.0,6251004.0,2792258.0,1202885.0,1029770.0,1422450.0,3758149.0,1521340.0,1443763.0,4856000.0,1917057.0,2092817.0
162000,1093545.0,7059409.0,1980065.0,,1508180.0,2302873.0,2262556.0,1974148.0,3101815.0,2132492.0,6311834.0,2812585.0,1213490.0,1040340.0,1428440.0,3805487.0,1533787.0,,4914466.0,1933875.0,2103372.0
163800,1100925.0,7118154.0,1988605.0,,1520717.0,2316237.0,2278748.0,2000586.0,3110957.0,2151845.0,6380873.0,2824685.0,1226651.0,,1437076.0,3865551.0,1544288.0,1467850.0,4956539.0,1949619.0,2127344.0
165600,1109413.0,7254814.0,2002382.0,,1534157.0,2332951.0,2293872.0,2019036.0,3118572.0,2172185.0,6435030.0,2862928.0,1238125.0,,1444646.0,3948261.0,1557430.0,1480117.0,5014765.0,,2142177.0
167400,1120423.0,7331074.0,2011774.0,,1551658.0,2346551.0,2318138.0,2027810.0,,2190291.0,6501455.0,2881648.0,1247370.0,,1458082.0,4051509.0,1576045.0,1494223.0,5070801.0,1994177.0,2158767.0
169200,1125853.0,7438404.0,2025804.0,,1564761.0,2358751.0,2338627.0,2048660.0,3129400.0,2212337.0,6543788.0,2895203.0,1256844.0,,1467264.0,4195673.0,1590301.0,1505875.0,5134978.0,2006366.0,2176819.0
171000,1130654.0,7540441.0,2034937.0,,1579542.0,2373321.0,2355497.0,2065650.0,3141000.0,2242528.0,6593826.0,2916539.0,1266543.0,,1479048.0,4399488.0,1602834.0,1516969.0,5201915.0,2020855.0,2189704.0
172800,1137706.0,7683321.0,2045378.0,,1594145.0,2383754.0,2368496.0,2088559.0,3143657.0,2277355.0,6645594.0,2935010.0,1276848.0,,1488395.0,4459233.0,1615363.0,1527036.0,5252233.0,2035236.0,2206023.0
174600,1152852.0,7815089.0,2057269.0,,1607422.0,2399838.0,2383987.0,2113020.0,3149991.0,2300824.0,6720628.0,2965010.0,1285816.0,,1500045.0,4498128.0,1633390.0,1532574.0,5333793.0,2049449.0,2217194.0
176400,1159957.0,8012108.0,2075325.0,,1619364.0,2415156.0,2408597.0,2128806.0,3161500.0,2323623.0,6773878.0,3003072.0,1299027.0,1100766.0,1508395.0,4589959.0,1641552.0,1543663.0,5411122.0,2065417.0,2238471.0
178200,1169218.0,8222288.0,,,,2428485.0,2428189.0,2149116.0,3170969.0,2349691.0,,3017262.0,1306796.0,1111494.0,1516414.0,4731441.0,1654982.0,1557306.0,5494628.0,2087599.0,2255835.0
180000,1177310.0,8495356.0,2093801.0,,1651143.0,2446199.0,2449230.0,2166240.0,3192637.0,2362527.0,6916420.0,3040316.0,1317370.0,1120192.0,1528511.0,4858952.0,1669885.0,1567155.0,5587574.0,2101558.0,2278327.0
181800,1185945.0,8579793.0,2105137.0,,1667737.0,2458015.0,2467886.0,2174987.0,3204462.0,2385102.0,7000895.0,3065375.0,1329719.0,1126239.0,1537960.0,5004248.0,1684404.0,1573214.0,5677498.0,2119142.0,2294138.0
